frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.protocol,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.flags.syn,tcp.flags.fin,tcp.flags.push
"1789632503.364839000","0.000019000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.396888000","0.032049000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.396906000","0.000018000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.435559000","0.038653000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.435583000","0.000024000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.469857000","0.034274000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.469878000","0.000021000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.512836000","0.042958000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.512853000","0.000017000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.541913000","0.029060000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.541944000","0.000031000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.562603000","0.020659000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.562623000","0.000020000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.607023000","0.044400000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.607041000","0.000018000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.646143000","0.039102000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.646160000","0.000017000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.656202000","0.010042000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.656218000","0.000016000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.695431000","0.039213000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.695448000","0.000017000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.721547000","0.026099000","90","192.168.1.7","192.168.1.14",,,"SSH","55130","22",,,"0x0018","False","False","True"
"1789632503.721564000","0.000017000","90","192.168.1.14","192.168.1.7",,,"SSH","22","55130",,,"0x0018","False","False","True"
"1789632503.772383000","0.050819000","60","192.168.1.7","192.168.1.14",,,"TCP","55130","22",,,"0x0010","False","False","False"
"1789632519.033376000","15.260993000","86","192.168.1.3","224.0.0.251",,,"MDNS",,,"47651","5353",,,,
"1789632519.045347000","0.011971000","86","192.168.1.3","224.0.0.251",,,"MDNS",,,"49807","5353",,,,
"1789632519.073894000","0.028547000","86","192.168.1.3","224.0.0.251",,,"MDNS",,,"44374","5353",,,,
"1789632519.085674000","0.011780000","86","192.168.1.3","224.0.0.251",,,"MDNS",,,"35506","5353",,,,
"1789632520.877403000","1.791729000","110",,,"fe80::7096:709f:b6bc:63c3","ff02::1:2","DHCPv6",,,"546","547",,,,
"1789632526.132596000","5.255193000","90","192.46.215.60","192.168.1.15",,,"NTP",,,"123","53921",,,,
"1789632528.707826000","2.575230000","141",,,"fe80::8029:31ff:fe92:61ac","ff02::1:2","DHCPv6",,,"546","547",,,,
"1789632528.945821000","0.237995000","60",,,,,"ARP",,,,,,,,
"1789632531.143951000","2.198130000","60",,,,,"ARP",,,,,,,,
"1789632531.143969000","0.000018000","42",,,,,"ARP",,,,,,,,
"1789632538.960022000","7.816053000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
"1789632539.064973000","0.104951000","434","192.168.1.5","192.168.1.255",,,"DTLS",,,"5684","5684",,,,
