timestamp,pid,cpu_percent,io_bytes_sec,io_ops_sec,page_faults_sec,thread_count,context_switches_sec
1789657598.528,1480,0,0,0,0,22,8896
1789657600.045,1480,0,0,0,0,22,7918
1789657601.548,1480,0,0,0,0,22,8040
1789657603.077,1480,0,0,0,0,22,7572
1789657604.577,1480,0,0,0,0,22,8650
1789657606.083,1480,0,0,0,0,22,7797
1789657607.595,1480,0,0,0,0,22,8354
1789657609.105,1480,0,0,0,0,22,7415
1789657610.616,1480,0,0,0,0,22,7651
1789657612.128,1480,0,0,0,0,22,7657
1789657613.647,1480,0,0,0,0,22,7746
1789657615.151,1480,0,0,0,0,22,8021
1789657616.652,1480,0,0,0,0,22,7926
1789657618.165,1480,0,0,0,0,22,7816
1789657619.664,1480,0,0,0,0,22,11883
1789657621.166,1480,0,0,0,0,21,7500
1789657622.689,1480,0,0,0,21,22,8040
1789657624.208,1480,0,0,0,0,22,7795
1789657625.71,1480,0,0,0,0,22,7977
1789657627.218,1480,0,0,0,0,22,7957
1789657628.721,1480,0,0,0,0,22,7612
1789657630.226,1480,0,0,0,0,22,7545
1789657631.733,1480,0,0,0,0,22,7651
1789657633.239,1480,0,0,0,0,22,8108
1789657634.74,1480,0,0,0,0,22,8020
1789657636.244,1480,0,0,0,0,22,8140
1789657637.754,1480,0,0,0,0,22,13367
1789657639.26,1480,0,0,0,0,22,7701
1789657640.78,1480,0,0,0,0,22,8342
1789657642.284,1480,0,0,0,0,22,8131
1789657643.803,1480,0,0,0,0,22,7997
1789657645.307,1480,0,0,0,0,22,8417
1789657646.813,1480,0,0,0,0,22,8180
1789657648.318,1480,0,0,0,0,22,8240
1789657649.825,1480,0,0,0,0,22,8122
1789657651.332,1480,0,0,0,0,22,7901
1789657652.838,1480,0,0,0,0,22,8161
1789657654.34,1480,0,0,0,0,22,7704
1789657655.848,1480,0,0,0,0,22,7742
